fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.3,0.986506310633034,-1,25,40,0.0067353870811739,102.45371092469456,AA,1059,13096.035018400871,7850.955007125409,6742.080561007602,5,5,CB,163,1,BC,0,1,9,0,1500.0,0,INTERNET,16.224843433978073,linux,1,1,0,0
0,0.8,0.6174260062650061,-1,89,20,0.010095097878573,-0.8495509687507287,AD,1658,9223.283430930423,5745.251480643791,5941.6648588359885,3,18,CA,154,1,BC,1,1,2,0,1500.0,0,INTERNET,3.36385371062431,other,1,1,0,0
0,0.8,0.9967070206409232,9,14,40,0.0123163495250501,-1.4903855214855013,AB,1095,4471.472148765561,5471.988958014066,5992.555113248597,15,11,CA,89,1,BC,0,1,30,0,200.0,0,INTERNET,22.73055923496224,windows,0,1,0,0
0,0.6000000000000001,0.4750999462380287,11,14,30,0.0069908306305029,-1.8631006767118188,AB,3483,14431.993621381194,6755.34447929092,5970.336830507939,11,13,CA,90,1,BC,0,1,1,0,200.0,0,INTERNET,15.215816122068803,linux,1,1,0,0
0,0.9,0.8423068370138775,-1,29,40,5.742625847255586,47.152497798787614,AA,2339,7601.511579253147,5124.046929628144,5940.734211620649,1,6,CA,91,0,BC,1,1,26,0,200.0,0,INTERNET,3.743047928033851,other,0,1,0,0
0,0.6000000000000001,0.2948404635987846,-1,369,30,0.024231885459018,-1.232556198255754,AD,1204,11556.955513727777,7506.951275553085,6482.924037404599,705,5,CB,134,1,BE,1,1,30,0,200.0,0,INTERNET,6.987315503150867,linux,1,1,0,0
0,0.2,0.7730854651787792,22,4,40,0.0069193596555432,-0.5446764953031848,AB,1998,11723.993606010376,7864.277143635152,6338.799156196561,28,8,CA,72,1,BC,1,1,1,0,200.0,0,INTERNET,28.19992278516053,x11,1,1,0,0
0,0.8,0.153880432777335,-1,103,40,0.0451218390683624,-1.1011844334405805,AB,1548,4999.555800752307,4526.861667090668,6426.790816709525,6,7,CA,163,0,BE,1,1,25,1,200.0,0,INTERNET,11.23426418538036,other,1,1,0,0
0,0.3,0.5236546591292989,21,2,30,0.0352056883298541,-0.9557372072420892,AB,1781,6979.9940022111805,4335.68534636426,6624.957941677998,2,10,CA,35,0,BC,1,0,2,0,200.0,0,INTERNET,5.329386683741856,other,1,1,0,0
0,0.8,0.8344745881003516,-1,134,20,0.0172445227162768,-1.3563931999585843,AD,3113,7549.992085884615,6273.922109554705,6312.998834706559,14,20,CA,201,1,BD,1,1,15,0,1500.0,0,INTERNET,4.103969778315406,other,1,1,0,0
0,0.9,0.4750148740479939,-1,67,50,0.008162056665278,-0.9476592716157056,AB,2998,7452.139159999395,6026.624267390926,6305.932829661439,11,9,CA,184,0,BA,1,1,1,0,1500.0,0,INTERNET,2.892487656957805,other,1,1,0,0
0,0.8,0.333012708390063,-1,14,40,0.0003075942229916,53.106292250257646,AA,2355,5585.827390065845,6381.506857907663,6392.364926146369,2,6,CA,136,0,BA,0,1,15,0,1500.0,0,INTERNET,32.90878723758514,other,1,1,0,0
0,0.1,0.7674319367073007,-1,34,20,0.0213463384257696,-0.6698555056935508,AB,2491,6652.516397836012,6720.662514085203,5987.011108097575,692,22,CA,84,1,BE,0,1,30,0,200.0,0,INTERNET,4.199729019965292,other,0,2,0,0
0,0.9,0.8660885394584622,-1,33,30,0.0346622107876037,-0.9752302011240784,AD,1249,10746.590276044511,5163.3884706598055,6734.662449722037,18,8,CA,123,0,BA,1,1,30,0,1500.0,0,INTERNET,20.607228892568408,macintosh,0,1,0,0
0,0.9,0.0526151465040271,-1,156,30,0.025659621303539,-1.5701643273245482,AD,1685,10282.430084742316,7499.069980705641,6785.3688568162925,28,16,CB,88,1,BA,0,1,1,0,200.0,0,INTERNET,6.324050439402358,linux,1,1,0,0
0,0.9,0.5207181701575837,-1,31,50,0.0057293932249281,-1.0082232359577044,AC,597,2778.119599099028,6002.7218898542615,6303.077748491805,12,26,CA,80,1,BC,0,1,10,0,200.0,0,INTERNET,3.7319703156421618,linux,1,1,0,0
0,0.8,0.1223696301274405,-1,20,30,0.023472004150741,-0.8816399994033612,AD,1655,4721.783888802728,3678.936076294419,6380.760673482324,26,15,CA,118,0,BC,0,0,30,0,200.0,0,INTERNET,7.836945285596486,windows,1,1,0,0
0,0.6000000000000001,0.4829057489273572,-1,38,40,0.03792492562703,-0.9946136114088656,AC,2774,5692.610361988332,5099.913245706173,6706.703152553651,1,10,CA,137,1,BC,0,1,-1,0,200.0,0,INTERNET,4.486325958572444,other,1,1,0,0
0,0.2,0.527750863793881,13,114,20,0.0031714486317217,-0.8483468522514769,AB,4389,12256.250056284667,5390.9504308211135,6330.661519362458,1839,18,CA,49,0,BB,1,1,15,0,200.0,0,INTERNET,2.838194456956286,windows,1,2,0,0
0,0.5,0.6748698374650179,-1,372,30,0.0044061446464032,30.300980254556983,AA,2069,12129.970774522912,7063.487188962284,6772.31948351953,1590,11,CA,268,1,BE,1,1,25,0,1500.0,0,INTERNET,6.336454889251335,other,1,1,0,0
0,0.7000000000000001,0.7320860163040129,-1,54,30,0.0108398431897982,43.99823402687878,AA,2060,7305.294098657473,7507.542758775161,6317.261058038047,1,13,CB,64,1,BC,1,1,28,0,200.0,0,INTERNET,1.6275880598490269,linux,1,1,0,0
0,0.1,0.4286249425581369,-1,60,20,0.0172445938541969,-1.4153316046452775,AB,3418,11305.210395154863,5828.048443996257,6816.886300989952,378,6,CA,52,0,BB,0,1,1,0,200.0,0,INTERNET,3.462537412240833,other,1,1,0,0
0,0.1,0.2569749667071656,-1,44,20,0.0074838972557003,-1.2934275365282022,AC,1668,9741.00028961059,5841.737010091622,5954.627972286914,22,14,CA,170,1,BC,0,0,-1,1,500.0,0,INTERNET,2.3671176592954115,linux,0,1,0,0
0,0.7000000000000001,0.4500574565546045,-1,30,20,0.0395966150139274,-0.8629560729478463,AB,4254,2281.504404659496,5713.134096829956,6263.512121450705,11,16,CB,57,1,BB,0,1,2,0,200.0,0,INTERNET,4.377892414935488,other,1,1,0,0
0,0.5,0.1787381251870444,26,8,30,0.0282406909753001,-1.4661464392916304,AB,1408,5468.489026683152,7615.150699099523,6810.287654149517,585,13,CB,79,1,BC,1,1,1,0,200.0,0,INTERNET,2.818489337642687,linux,1,1,0,0
0,0.9,0.1027451585699652,-1,203,50,0.0051734928191784,-0.6619875264724204,AB,3453,9583.791188713963,7768.314395506042,6372.280751133748,0,3,CB,191,0,BB,1,1,30,0,1000.0,0,INTERNET,10.480853452907915,linux,1,1,0,0
0,0.4,0.043498192055415,33,9,40,0.0136911561195904,-1.1216799752510205,AB,4460,11460.679661104232,7727.385071383286,6592.190421407181,0,15,CA,62,1,BC,1,1,30,0,200.0,0,INTERNET,25.369777622242,linux,1,1,0,0
0,0.6000000000000001,0.0840883880261682,-1,104,30,0.0114748865526803,-1.7930036170376245,AB,1972,7869.720176702284,5467.166903671981,6268.889549058023,27,15,CA,113,1,BA,0,1,30,1,200.0,0,INTERNET,4.502006765720234,macintosh,1,1,0,0
0,0.2,0.0305617917978289,27,7,40,20.129566637418773,-1.5584727730992047,AB,1619,7332.765245066129,6694.03060769026,6679.416272475689,16,19,CB,81,0,BC,0,0,10,0,200.0,0,INTERNET,7.523308597538557,linux,0,1,0,0
0,0.9,0.2724157905066648,-1,35,40,4.808094300417631e-05,-0.6071319632400124,AD,2243,6252.400299251526,5726.903918436935,6788.629415647545,10,7,CB,136,0,BE,1,0,15,0,200.0,0,INTERNET,2.5988052732896803,windows,1,1,0,0
0,0.8,0.1168266207802276,-1,233,40,0.6132242674998913,18.80152195782105,AA,2694,10745.877820079497,6028.753634301322,6041.436514498563,6,3,CB,59,0,BE,0,1,30,0,200.0,0,INTERNET,5.0531029071220255,linux,0,1,0,0
0,0.8,0.5377106063714228,-1,174,40,0.0139564504418582,7.4035774222322095,AA,2178,2342.975297683729,6585.599474613518,6758.336472712492,9,2,CA,182,1,BC,1,1,27,1,1500.0,0,INTERNET,1.458035394066222,other,1,1,0,0
0,0.1,0.5031299603662464,-1,198,20,0.0090271180258872,19.750526120622908,AA,806,4790.914583772344,7859.516912665314,6371.446092468807,2,8,CA,37,1,BE,0,1,10,0,200.0,0,INTERNET,8.421464504051997,linux,0,1,0,0
0,0.5,0.7980627164031958,-1,72,40,0.0480647889567065,-1.304239763306958,AB,291,2587.280681961732,4647.1606292750375,3112.981611212467,2,7,CA,100,1,BB,1,1,1,0,200.0,0,INTERNET,14.961402126130974,linux,1,1,0,0
0,0.8,0.7233215087933395,23,9,30,0.038436116254157,-1.7644045194451354,AB,859,12249.541284069324,6069.4619424845305,6793.395701459717,233,14,CA,162,0,BC,1,1,28,0,1000.0,0,INTERNET,1.2609812193856922,windows,1,1,0,0
0,0.5,0.0327702070042623,-1,30,40,0.0133381503585464,-1.2548822938850115,AB,2689,3469.9895471896552,7389.789106520928,6292.9855386248055,26,6,CB,152,1,BB,1,1,10,0,200.0,1,INTERNET,16.785044496879774,linux,0,1,0,0
0,0.8,0.0283343967058156,8,4,40,0.0138745658454508,-1.0521096570123556,AC,538,7259.973574094532,3359.121312585176,6634.291098371586,1,11,CA,136,0,BC,0,1,-1,0,200.0,0,INTERNET,5.549869417190963,other,0,1,0,0
0,0.6000000000000001,0.7728672348837954,96,124,40,0.0154872042915385,-0.9597553917720874,AB,4033,7412.0643914395105,5990.690676815927,6373.249653412465,0,3,CB,245,0,BA,0,1,28,0,1500.0,0,INTERNET,4.607510853934009,other,1,1,0,0
0,0.7000000000000001,0.0944345897016101,24,18,20,0.0013989064798397,-1.3236593090073092,AA,2463,12651.823150970757,6747.187721502571,6348.545747156612,5,2,CA,184,1,BC,1,1,28,0,500.0,0,INTERNET,32.681055707640965,macintosh,0,1,0,0
0,0.6000000000000001,0.0306939792025831,48,5,20,0.0083141913623749,-0.7931657267391807,AB,3601,9482.529230530408,5369.544377960861,6373.3680358950805,5,16,CA,142,1,BE,1,1,20,0,500.0,0,INTERNET,3.101605893333712,linux,1,1,0,0
0,0.9,0.1600789159747309,49,8,20,0.0325879810124439,100.66989089937512,AD,587,7942.408980433771,6873.953007812236,6830.890288928161,25,11,CA,114,1,BC,0,1,1,0,500.0,0,INTERNET,14.026596094483809,windows,1,1,0,0
0,0.4,0.5234225972725142,51,19,20,0.0119449263181558,-1.0365850165276336,AD,1290,7222.840840468393,5844.032109941936,6749.432651801582,9,22,CA,39,1,BC,1,1,1,0,200.0,0,INTERNET,4.987669332579432,linux,1,1,0,0
0,0.9,0.1543946633449997,-1,165,30,0.0124561474516988,-0.932819130531049,AB,2963,8913.979396457155,5449.300639675255,4130.377754366809,2,8,CA,147,0,BB,0,1,5,1,200.0,0,INTERNET,5.012272853851047,linux,0,1,0,0
1,0.9,0.5707999943864518,-1,157,60,0.0059079774857686,35.33753810950236,AA,4079,8139.265753388037,4312.23061172115,6341.431598328823,2,17,CA,131,1,BA,1,1,30,0,1500.0,0,INTERNET,4.03639377447068,windows,1,1,0,0
0,0.6000000000000001,0.2205048811327968,-1,237,50,0.0172834567727758,-0.7536957267484433,AB,986,9031.653168424193,5969.762448584843,4697.179751407239,1,0,CC,175,1,BB,1,0,1,0,1500.0,0,INTERNET,5.000740485604896,windows,1,1,0,0
0,0.9,0.2229148041068807,-1,183,50,0.0082748191609586,-1.640786867737711,AB,187,4449.078939922176,5021.751169106488,5960.375586275284,1,3,CA,198,0,BA,0,1,1,0,1500.0,1,INTERNET,6.373339198289603,windows,1,1,0,0
0,0.8,0.6376619592319196,-1,368,20,0.0066237832140835,-1.2446182067647458,AC,3428,6972.747027023951,7528.486969884627,6678.021813370927,6,12,CB,30,1,BC,1,1,-1,0,200.0,0,INTERNET,9.165048711307485,other,1,1,0,0
0,0.9,0.1561999469749605,-1,241,30,0.0155531814789375,8.613148099765429,AA,1214,8577.8546048558,4397.657278090915,5329.150390328766,19,12,CA,194,0,BA,1,1,28,0,1500.0,0,INTERNET,4.942973946971591,other,1,1,0,0
0,0.5,0.7431692219942402,-1,41,50,0.0128170440754128,14.357232834086249,AA,3527,15661.981009611069,7127.916579583734,6440.575259754455,189,4,CB,37,0,BB,0,1,28,1,500.0,0,INTERNET,38.48214290476921,other,0,1,0,0
0,0.7000000000000001,0.2155111283583093,26,14,20,0.0108061504923663,47.28677543860663,AA,2034,7959.551871633829,6249.240296422216,6853.122967488903,1,13,CA,162,0,BC,0,1,20,0,500.0,0,INTERNET,2.3297729123780333,other,1,1,0,0
0,0.4,0.0600025529415906,-1,55,20,0.0233194876834774,-0.6406229444993299,AB,1234,4062.4816166007263,3400.3449290743706,4296.4543435896085,601,11,CA,11,0,BB,1,1,1,0,200.0,0,INTERNET,5.793523339659388,linux,1,1,0,0
